10	23
15	58
16	24
16	23
17	28
19	23
1	24
20	23
20	25
22	26
22	23
25	29
26	30
26	31
26	23
27	27
28	23
29	26
29	30
30	30
30	29
30	27
31	33
31	30
32	26
32	27
32	29
33	33
34	27
34	24
35	26
35	33
36	28
37	27
37	29
38	33
39	26
39	34
3	25
40	33
40	26
41	30
42	25
42	27
43	27
44	30
45	51
45	44
46	29
47	33
49	30
49	36
49	36
4	24
50	54
50	24
51	30
52	50
53	27
54	51
54	33
55	34
55	55
56	57
56	44
56	30
57	30
58	34
58	34
58	51
59	51
59	33
60	55
60	57
62	36
62	47
64	57
64	50
64	51
65	49
65	36
66	27
66	42
67	25
67	33
68	47
68	49
69	30
6	26
70	36
71	45
72	23
73	52
75	51
75	45
76	42
77	57
81	43
86	47
8	25
