;;39;;;;;69;;;;;99
1;9.173751;1_0_0_20161219194756275.jpg;;;1;10.982534;1_0_0_20161219194756275.jpg;;;1;11.435711;1_0_0_20161219194756275.jpg
1;9.315802;1_0_0_20161219211607517.jpg;;;1;11.541502;1_0_0_20161219211607517.jpg;;;1;12.046462;1_0_0_20161219211607517.jpg
1;9.113191;1_0_0_20161220220135250.jpg;;;1;11.050266;1_0_0_20161220220135250.jpg;;;1;12.363897;1_0_0_20161220220135250.jpg
1;9.00017;1_0_0_20170103210741492.jpg;;;1;10.831605;1_0_0_20170103210741492.jpg;;;1;12.4423275;1_0_0_20170103210741492.jpg
1;9.579345;1_0_0_20170109191725028.jpg;;;1;12.122574;1_0_0_20170109191725028.jpg;;;1;13.186294;1_0_0_20170109191725028.jpg
1;9.658797;1_0_0_20170110211513139.jpg;;;1;12.105986;1_0_0_20170110211513139.jpg;;;1;13.097969;1_0_0_20170110211513139.jpg
1;10.139923;1_0_0_20170110212603790.jpg;;;1;12.383166;1_0_0_20170110212603790.jpg;;;1;13.2620125;1_0_0_20170110212603790.jpg
1;10.396878;1_0_0_20170110212652648.jpg;;;1;12.7271595;1_0_0_20170110212652648.jpg;;;1;13.415252;1_0_0_20170110212652648.jpg
1;10.12344;1_0_0_20170110212658392.jpg;;;1;12.015179;1_0_0_20170110212658392.jpg;;;1;12.576293;1_0_0_20170110212658392.jpg
1;11.176566;1_0_0_20170110212712576.jpg;;;1;13.64662;1_0_0_20170110212712576.jpg;;;1;14.119925;1_0_0_20170110212712576.jpg
1;8.069138;1_0_0_20170110213012671.jpg;;;1;10.354735;1_0_0_20170110213012671.jpg;;;1;11.461725;1_0_0_20170110213012671.jpg
1;9.713037;1_0_0_20170110213018391.jpg;;;1;12.116456;1_0_0_20170110213018391.jpg;;;1;12.576929;1_0_0_20170110213018391.jpg
1;9.741236;1_0_0_20170110213203795.jpg;;;1;12.0397005;1_0_0_20170110213203795.jpg;;;1;13.235064;1_0_0_20170110213203795.jpg
1;8.299225;1_0_0_20170110213518456.jpg;;;1;10.839603;1_0_0_20170110213518456.jpg;;;1;11.892548;1_0_0_20170110213518456.jpg
1;9.304131;1_0_2_20161219204151442.jpg;;;1;11.525226;1_0_2_20161219204151442.jpg;;;1;12.584484;1_0_2_20161219204151442.jpg
1;9.456615;1_0_2_20161219213454832.jpg;;;1;11.291616;1_0_2_20161219213454832.jpg;;;1;11.646672;1_0_2_20161219213454832.jpg
1;9.343976;1_0_2_20170110212743721.jpg;;;1;11.4615345;1_0_2_20170110212743721.jpg;;;1;12.179788;1_0_2_20170110212743721.jpg
3;9.932667;3_1_3_20161220220619722.jpg;;;3;12.332075;3_1_3_20161220220619722.jpg;;;3;12.820439;3_1_3_20161220220619722.jpg
3;9.707486;3_1_3_20161220220625842.jpg;;;3;11.767124;3_1_3_20161220220625842.jpg;;;3;12.703977;3_1_3_20161220220625842.jpg
3;8.894263;3_1_4_20161221192908158.jpg;;;3;11.300346;3_1_4_20161221192908158.jpg;;;3;12.038693;3_1_4_20161221192908158.jpg
3;9.196507;3_1_4_20161221192909421.jpg;;;3;11.42564;3_1_4_20161221192909421.jpg;;;3;12.3463335;3_1_4_20161221192909421.jpg
3;9.498222;3_1_4_20161223231741788.jpg;;;3;11.296122;3_1_4_20161223231741788.jpg;;;3;12.167708;3_1_4_20161223231741788.jpg
4;9.287623;4_0_0_20161220220926474.jpg;;;4;11.275875;4_0_0_20161220220926474.jpg;;;4;12.264598;4_0_0_20161220220926474.jpg
4;8.825922;4_0_0_20170104010859393.jpg;;;4;10.153641;4_0_0_20170104010859393.jpg;;;4;10.923133;4_0_0_20170104010859393.jpg
4;8.360315;4_0_0_20170109191458548.jpg;;;4;10.673549;4_0_0_20170109191458548.jpg;;;4;11.857908;4_0_0_20170109191458548.jpg
4;10.51607;4_0_0_20170110205349508.jpg;;;4;12.5013485;4_0_0_20170110205349508.jpg;;;4;12.964506;4_0_0_20170110205349508.jpg
4;9.384957;4_0_0_20170110213325187.jpg;;;4;11.349821;4_0_0_20170110213325187.jpg;;;4;12.414093;4_0_0_20170110213325187.jpg
4;10.681908;4_0_0_20170110213408453.jpg;;;4;12.831036;4_0_0_20170110213408453.jpg;;;4;13.616508;4_0_0_20170110213408453.jpg
4;8.520927;4_0_0_20170110213533405.jpg;;;4;10.430635;4_0_0_20170110213533405.jpg;;;4;11.141603;4_0_0_20170110213533405.jpg
4;10.1692295;4_0_0_20170110225200150.jpg;;;4;12.244245;4_0_0_20170110225200150.jpg;;;4;13.019158;4_0_0_20170110225200150.jpg
4;9.704667;4_0_0_20170110232756133.jpg;;;4;12.168828;4_0_0_20170110232756133.jpg;;;4;13.289448;4_0_0_20170110232756133.jpg
4;9.338314;4_0_1_20170104010848776.jpg;;;4;11.58992;4_0_1_20170104010848776.jpg;;;4;12.240356;4_0_1_20170104010848776.jpg
4;11.082701;4_0_1_20170110213631827.jpg;;;4;13.336424;4_0_1_20170110213631827.jpg;;;4;13.92396;4_0_1_20170110213631827.jpg
4;9.5766535;4_0_2_20161220220440489.jpg;;;4;11.534796;4_0_2_20161220220440489.jpg;;;4;12.268684;4_0_2_20161220220440489.jpg
4;10.345597;4_0_2_20170110225135002.jpg;;;4;12.480749;4_0_2_20170110225135002.jpg;;;4;13.506119;4_0_2_20170110225135002.jpg
4;9.079407;4_0_3_20161220220741730.jpg;;;4;10.8175955;4_0_3_20161220220741730.jpg;;;4;11.60942;4_0_3_20161220220741730.jpg
4;9.322686;4_0_3_20161220220742914.jpg;;;4;11.208501;4_0_3_20161220220742914.jpg;;;4;11.624745;4_0_3_20161220220742914.jpg
4;9.457047;4_0_3_20161220222803227.jpg;;;3;12.332075;3_1_3_20161220220619722.jpg;;;4;12.296532;4_0_3_20161220222803227.jpg
4;8.909635;4_0_3_20161220223111195.jpg;;;3;11.767124;3_1_3_20161220220625842.jpg;;;4;11.343847;4_0_3_20161220223111195.jpg
4;9.474562;4_0_4_20161221192742413.jpg;;;3;11.300346;3_1_4_20161221192908158.jpg;;;4;13.028709;4_0_4_20161221192742413.jpg
4;9.457047;4_0_4_20161221193322159.jpg;;;3;11.42564;3_1_4_20161221192909421.jpg;;;4;12.296532;4_0_4_20161221193322159.jpg
4;9.216847;4_1_0_20161220220732418.jpg;;;3;11.296122;3_1_4_20161223231741788.jpg;;;4;12.324455;4_1_0_20161220220732418.jpg
4;9.476788;4_1_0_20170109191135825.jpg;;;4;11.275875;4_0_0_20161220220926474.jpg;;;4;12.661312;4_1_0_20170109191135825.jpg
4;10.759895;4_1_0_20170109192248839.jpg;;;4;10.153641;4_0_0_20170104010859393.jpg;;;4;13.236994;4_1_0_20170109192248839.jpg
4;10.078941;4_1_0_20170109192308345.jpg;;;4;10.673549;4_0_0_20170109191458548.jpg;;;4;12.799664;4_1_0_20170109192308345.jpg
4;10.258987;4_1_0_20170109193059401.jpg;;;4;12.5013485;4_0_0_20170110205349508.jpg;;;4;13.243116;4_1_0_20170109193059401.jpg
4;10.082908;4_1_0_20170109193102653.jpg;;;4;11.349821;4_0_0_20170110213325187.jpg;;;4;13.121097;4_1_0_20170109193102653.jpg
4;10.54357;4_1_0_20170109193813519.jpg;;;4;12.831036;4_0_0_20170110213408453.jpg;;;4;13.458478;4_1_0_20170109193813519.jpg
4;10.389881;4_1_0_20170109204913999.jpg;;;4;10.430635;4_0_0_20170110213533405.jpg;;;4;13.461884;4_1_0_20170109204913999.jpg
4;9.641497;4_1_1_20170109194520772.jpg;;;4;12.244245;4_0_0_20170110225200150.jpg;;;4;12.141838;4_1_1_20170109194520772.jpg
4;11.06134;4_1_1_20170109194523891.jpg;;;4;12.168828;4_0_0_20170110232756133.jpg;;;4;14.050933;4_1_1_20170109194523891.jpg
4;10.446222;4_1_1_20170109194638149.jpg;;;4;11.58992;4_0_1_20170104010848776.jpg;;;4;13.179466;4_1_1_20170109194638149.jpg
4;9.597309;4_1_1_20170109194656449.jpg;;;4;13.336424;4_0_1_20170110213631827.jpg;;;4;12.018629;4_1_1_20170109194656449.jpg
2;9.011987;2_0_4_20161221202918296.jpg;;;4;11.534796;4_0_2_20161220220440489.jpg;;;2;11.647213;2_0_4_20161221202918296.jpg
2;8.872031;2_0_4_20161221202954025.jpg;;;4;12.480749;4_0_2_20170110225135002.jpg;;;2;11.232111;2_0_4_20161221202954025.jpg
2;8.787891;2_0_4_20170103210928251.jpg;;;4;10.8175955;4_0_3_20161220220741730.jpg;;;2;11.222566;2_0_4_20170103210928251.jpg
2;9.356472;2_0_4_20170103230700225.jpg;;;4;11.208501;4_0_3_20161220220742914.jpg;;;2;11.795267;2_0_4_20170103230700225.jpg
2;10.989911;2_1_0_20170109191715669.jpg;;;4;11.665037;4_0_3_20161220222803227.jpg;;;2;14.518458;2_1_0_20170109191715669.jpg
2;9.560377;2_1_0_20170109191803520.jpg;;;4;10.606086;4_0_3_20161220223111195.jpg;;;2;12.468271;2_1_0_20170109191803520.jpg
3;10.342358;3_0_3_20161220222637579.jpg;;;4;11.713777;4_0_4_20161221192742413.jpg;;;2;11.647213;2_0_4_20161221202918296.jpg
3;9.331642;3_0_4_20161221193406126.jpg;;;4;11.665037;4_0_4_20161221193322159.jpg;;;2;11.232111;2_0_4_20161221202954025.jpg
